,科技馆(地铁站),交通设施服务,地铁站,地铁站.1,广东省,深圳市,宝安区,113.778501,22.71552,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
54,流塘(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.88919,22.583845,,,,,
55,翻身(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.893232,22.55969,,,,,
56,宝安中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.887233,22.554575,,,,,
57,宝体(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.880641,22.560741,,,,,
58,宝安(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.880396,22.55459,,,,,
59,宝华(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.88509,22.549635,,,,,
60,灵芝(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.904158,22.568964,,,,,
61,新安(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.894625,22.547468,,,,,
62,上川(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.897075,22.57594,,,,,
63,临海(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.889323,22.54416,,,,,
64,洪浪北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.910585,22.574543,,,,,
65,前湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.895732,22.522244,,,,,
66,前湾公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.889552,22.516108,,,,,
67,梦海(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.898806,22.518925,,,,,
68,桂湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.897944,22.532358,,,,,
69,怡海(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.903758,22.514933,,,,,
70,妈湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.885929,22.507904,,,,,
71,鲤鱼门(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.903079,22.532005,,,,,
72,前海湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.897933,22.537335,,,,,
73,铁路公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.889969,22.502908,,,,,
74,赤湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.897525,22.479227,,,,,
75,左炮台(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.894514,22.468984,,,,,
76,荔湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.893485,22.497821,,,,,
77,太子湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.90862,22.474414,,,,,
78,圳美(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.949377,22.788614,,,,,
79,光明大街(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.942714,22.761965,,,,,
80,凤凰城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.932831,22.747433,,,,,
81,科学公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.934115,22.777469,,,,,
82,楼村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.923407,22.77591,,,,,
