,儿童沙池乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所.1,广东省,深圳市,宝安区,113.770846,22.727371,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
47,浩哥篮球儿童运动训练营(蛇口总馆),体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,南山区,113.933311,22.495362,,,,,
48,卡尔飞车儿童赛车世界(深圳蛇口店),体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,南山区,113.914757,22.485701,,,,,
49,PUKY儿童平衡车俱乐部,体育休闲服务,运动场馆,运动场所,广东省,深圳市,南山区,113.942437,22.500855,,,,,
50,深圳市野生动物园儿童游乐场,体育休闲服务,休闲场所,游乐场,广东省,深圳市,南山区,113.970582,22.596037,,,,,
51,Superkid儿童运动馆(龙珠店),体育休闲服务,运动场馆,运动场所,广东省,深圳市,南山区,113.973556,22.561427,,,,,
52,神奇校车儿童乐园(福到来购物广场店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,南山区,113.980511,22.558654,,,,,
53,加州儿童会,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,南山区,113.977042,22.525987,,,,,
54,Super kid儿童运动馆(世纪村店),体育休闲服务,运动场馆,运动场所,广东省,深圳市,南山区,113.966756,22.53211,,,,,
55,铃宝宝儿童乐园(大浪义乌店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.003002,22.677632,,,,,
56,大浪义乌乐欢天儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.00279,22.678263,,,,,
57,迪乐尼儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.019592,22.64316,,,,,
58,深圳市儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.010186,22.542779,,,,,
59,Eureka优瑞卡儿童主题乐园(福田KKone店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.026314,22.52862,,,,,
60,乐悠游儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.055461,22.716131,,,,,
61,濠宝宝儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.061936,22.724703,,,,,
62,儿童乐园(暂停营业),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.049305,22.69115,,,,,
63,欢乐贝贝儿童乐园(龙华·花半里店),体育休闲服务,休闲场所,休闲场所,广东省,深圳市,龙华区,114.048294,22.672321,,,,,
64,萌萌象儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.042068,22.693327,,,,,
65,萨比奇儿童乐园(福民店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.057494,22.523381,,,,,
66,观澜湖大地生态艺术园-儿童游乐场,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.079398,22.721054,,,,,
67,儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙华区,114.104908,22.713915,,,,,
68,添添儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.108145,22.647839,,,,,
69,金稻儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.105484,22.65456,,,,,
70,雪象公园儿童乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,龙岗区,114.084382,22.656886,,,,,
71,儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.085137,22.532837,,,,,
72,欢乐居儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.093084,22.536739,,,,,
73,奇琪儿童乐园(皇御商城店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.076556,22.526424,,,,,
