54,重庆美食城,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780402,22.679281
55,野菜饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.78259,22.688621
56,小纪姐桂柳螺蛳粉,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780929,22.67958
57,客家陈氏私房菜,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.785639,22.68025
58,潮汕原味汤粉王,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.782938,22.676286
59,寻湘味猪杂汤饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782945,22.683183
60,一品湘木桶饭(福园一路店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.784642,22.682252
61,饶记·仙庙烧鸡(福海会展中心店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.783105,22.688547
62,广兴潮顺自选快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.784984,22.686683
63,辣年代(会展中心店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.784094,22.675567
64,印象东北(福永店),餐饮服务,中餐厅,东北菜,广东省,深圳市,宝安区,113.785249,22.688873
65,湘味轩(美盛店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.783621,22.683232
66,湘小厨子印象店,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.784249,22.676871
67,洞庭湖湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.786147,22.693227
68,颐园餐厅,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.783307,22.683325
69,梅汕烧腊快餐(和平店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.783564,22.692707
70,湘岳蒸菜馆,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.785129,22.687532
71,色湘味食府(国际会展中心店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.786202,22.688262
72,化州鸡扣肉快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.782027,22.68344
73,鱼有鱼样,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.791187,22.688097
74,老四川烤鱼烧烤,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.788167,22.688634
75,兰州拉面(福园一路),餐饮服务,中餐厅,清真菜馆,广东省,深圳市,宝安区,113.780988,22.679607
76,德客士汉堡,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.790985,22.692841
77,这滋味(城市快餐旗舰店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.781801,22.675994
78,润仔祥黄焖鸡米饭(福园店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.781837,22.676226
79,功夫煲仔香皖地狱面馆,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.78207,22.676615
80,河南羊肉馆,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811593,22.761718
81,精酿音乐烤吧,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811703,22.761092
82,和记桐坑鲜牛肉店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811653,22.761174
83,东北烧烤大全,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.811702,22.761285
84,丁记东北饺子王,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811219,22.760946
85,高筑墙羊肉串(步涌兴裕路店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811213,22.760933
86,胖子羊汤烩面(步涌六分店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.811158,22.760821
87,有福气猪肚鸡,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.81092,22.760361
88,何记四海农夫,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810993,22.760511
89,柳州螺蛳粉(松岗店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811204,22.760185
90,湘鱼味,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811615,22.761087
91,灯火鱼旺,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811112,22.759914
92,不规则油酥烧饼,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.81188,22.761562
93,北极饺子馆,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.808772,22.760519
94,愿者上钩(步涌店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810739,22.759831
95,印象巴蜀面道,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.810766,22.759348
96,蜀八婆鲍鱼鸡煲虾步涌店,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.811085,22.76067
97,潮汕砂锅粥,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808421,22.75976
98,湘聚楼,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809762,22.762554
99,湘约四季(步涌店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.812048,22.758291
100,川味面荘(兴裕店),餐饮服务,中餐厅,四川菜(川菜),广东省,深圳市,宝安区,113.810539,22.759486
101,上弦月北方手工水饺,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.810261,22.758918
102,赣湘木桶饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809896,22.759064
103,湘灶台柴火鸡,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811565,22.760866
104,佬表人家赣味当家(步涌店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808793,22.760563
105,柴火农家菜,餐饮服务,中餐厅,综合酒楼,广东省,深圳市,宝安区,113.81227,22.758618
106,荷叶美食城,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810934,22.759587
107,小湘厨木桶饭,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.810959,22.759022
108,华莱士(步涌兴裕店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.810484,22.75947
109,正宗隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.807918,22.763908
110,蔡记正宗潮州砂锅粥,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808452,22.759869
111,厨嫂当家(步涌店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.808601,22.763634
