58,深圳市楼村小学,科教文化服务,学校,小学,广东省,深圳市,光明区,113.930765,22.781103
59,东周小学,科教文化服务,学校,小学,广东省,深圳市,光明区,113.938667,22.758822
60,小学部,科教文化服务,学校,小学,广东省,深圳市,光明区,113.936626,22.750361
61,光明小学,科教文化服务,学校,小学,广东省,深圳市,光明区,113.947515,22.755726
62,深圳市宝安区羊台山小学,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.932379,22.681447
63,深圳市宝安区石岩街道罗租小学,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.935644,22.67502
64,石岩湖学校,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.922265,22.673666
65,深圳市上屋小学,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.938163,22.688199
66,深圳市罗租小学,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.936239,22.674919
67,深圳市南山区白芒小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.941846,22.624932
68,留仙小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.930893,22.582005
69,深圳市宝安外国语学校,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.916184,22.572314
70,深圳市宝城小学,科教文化服务,学校,小学,广东省,深圳市,宝安区,113.91513,22.559727
71,南山实验教育集团麒麟小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.929861,22.545533
72,深圳市南头城小学(建设中),科教文化服务,学校,小学,广东省,深圳市,南山区,113.921764,22.545157
73,松坪第二小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.946287,22.559753
74,学府小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.933102,22.522735
75,深圳市南山区向南小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.923829,22.520378
76,南油小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.927409,22.508186
77,南山区第二外国语学校(集团)学府二小,科教文化服务,学校,小学,广东省,深圳市,南山区,113.929484,22.515748
78,阳光小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.912669,22.52362
79,滨海小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.933103,22.482286
80,育才教育集团第四小学,科教文化服务,学校,小学,广东省,深圳市,南山区,113.937419,22.494904
81,育才一小,科教文化服务,学校,小学,广东省,深圳市,南山区,113.919952,22.491073
