340,272,文德南站(公交站),1,1,0.75,0.75
429,343,东堤站(公交站),1,1,0.75,0.75
450,360,珠光路总站(公交站),1,0.9,0.75,0.675
511,409,万福路站(公交站),1,0.9,0.75,0.675
728,582,团一大广场(地铁站),1,0.55,0.75,0.4125
805,644,团一大广场(公交站),1,0.55,0.75,0.4125
438,350,万福东站(公交站),1,0.9,0.75,0.675
711,569,越秀南路站(公交站),1,0.55,0.75,0.4125
563,450,天字码头站(公交站),1,0.9,0.75,0.675
678,542,万福西(公交站),1,0.55,0.75,0.4125
603,482,珠光路(公交站),1,0.9,0.75,0.675
664,531,南关(公交站),1,0.55,0.75,0.4125
709,567,文德路总站(公交站),1,0.55,0.75,0.4125
788,630,北京路(地铁站),1,0.55,0.75,0.4125
639,511,中山图书馆站(公交站),1,0.9,0.75,0.675
817,654,文明路站(公交站),1,0.55,0.75,0.4125
833,666,白云路站(公交站),1,0.55,0.75,0.4125
907,726,北京南(公交站),1,0.25,0.75,0.1875
964,771,北京路步行街(公交站),1,0.25,0.75,0.1875
982,786,三角市站(公交站),1,0.25,0.75,0.1875
1076,861,北京路口站(公交站),1,0.25,0.75,0.1875
981,785,北京路步行街(宝升商业大厦)(公交站),1,0.25,0.75,0.1875
924,739,泰康路(公交站),1,0.25,0.75,0.1875
1001,801,大沙头站(公交站),1,0.25,0.75,0.1875
1015,812,文德路站(公交站),1,0.25,0.75,0.1875
1034,827,越秀中路(公交站),1,0.25,0.75,0.1875
1125,900,江湾桥脚站2(公交站),1,0.08,0.75,0.06
1047,838,大沙头总站(公交站),1,0.25,0.75,0.1875
1217,974,白云路总站(公交站),1,0.08,0.75,0.06
899,719,德政中路(公交站),1,0.25,0.75,0.1875
1215,972,东华南路总站(公交站),1,0.08,0.75,0.06
1099,879,海珠广场(侨光东)(公交站),1,0.08,0.75,0.06
1037,830,农讲所(地铁站),1,0.25,0.75,0.1875
1054,843,农讲所站(公交站),1,0.25,0.75,0.1875
429,343,华工汽车学院(公交站),2,1,0.75,0.75
429,343,华工广州学院总站(公交站),2,1,0.75,0.75
469,375,花都华南理工大学广州学院总站(公交站),2,0.9,0.75,0.675
433,346,学府路站(公交站),2,1,0.75,0.75
766,613,广州城市理工学院(公交站),2,0.55,0.75,0.4125
1019,815,广清城轨乐同站(公交站),2,0.25,0.75,0.1875
151,121,银利新邨(公交站),3,1,0.75,0.75
242,194,牛利岗南街(公交站),3,1,0.75,0.75
446,357,银利街(公交站),3,0.9,0.75,0.675
459,367,侨乐新村(公交站),3,0.9,0.75,0.675
390,312,南华工商学院(公交站),3,1,0.75,0.75
584,467,伍仙桥(公交站),3,0.9,0.75,0.675
804,643,鸡颈坑(公交站),3,0.55,0.75,0.4125
1028,822,兴华路口(公交站),3,0.25,0.75,0.1875
939,751,天平架(公交站),3,0.25,0.75,0.1875
1045,836,天平架(地铁站),3,0.25,0.75,0.1875
955,764,天虹宾馆(公交站),3,0.25,0.75,0.1875
1111,889,兴华路(公交站),3,0.08,0.75,0.06
1184,947,沙太南路站(公交站),3,0.08,0.75,0.06
218,174,明珠市场(公交站),4,1,0.75,0.75
658,526,明珠管委会总站(公交站),4,0.55,0.75,0.4125
670,536,明珠管委会(公交站),4,0.55,0.75,0.4125
698,558,坑尾村站(公交站),4,0.55,0.75,0.4125
293,234,大江路口站(公交站),5,1,0.75,0.75
297,238,塱仔新村(公交站),5,1,0.75,0.75
300,240,大江路口站(东行)(公交站),5,1,0.75,0.75
369,295,大江路口站(西行)(公交站),5,1,0.75,0.75
541,433,河东派出所(公交站),5,0.9,0.75,0.675
466,373,河东市场(公交站),5,0.9,0.75,0.675
573,458,河东广场(公交站),5,0.9,0.75,0.675
695,556,广州医学院(从化学院)(公交站),5,0.55,0.75,0.4125
740,592,七星西路站(公交站),5,0.55,0.75,0.4125
765,612,广州医学院从化学院(公交站),5,0.55,0.75,0.4125
917,734,从化广播电视台(公交站),5,0.25,0.75,0.1875
915,732,广播电视中心站(公交站),5,0.25,0.75,0.1875
890,712,七星路口(公交站),5,0.25,0.75,0.1875
801,641,光导纤维厂站(公交站),5,0.55,0.75,0.4125
1147,918,河堤广场(公交站),5,0.08,0.75,0.06
1111,889,七星市场站(公交站),5,0.08,0.75,0.06
1260,1008,博物馆(公交站),5,0.08,0.75,0.06
1281,1025,从化博物馆(公交站),5,0.08,0.75,0.06
973,778,从化大桥(向阳大车)站(公交站),5,0.25,0.75,0.1875
978,782,从化大桥(公交站),5,0.25,0.75,0.1875
906,725,上游路总站(公交站),5,0.25,0.75,0.1875
1165,932,自来水公司(公交站),5,0.08,0.75,0.06
984,787,江埔村委(公交站),5,0.25,0.75,0.1875
1303,1042,从化住建局(公交站),5,0.08,0.75,0.06
1046,837,沿江南路中站(公交站),5,0.25,0.75,0.1875
1110,888,江埔村二社站(公交站),5,0.08,0.75,0.06
1097,878,邮政局(公交站),5,0.08,0.75,0.06
1283,1026,河滨公园(公交站),5,0.08,0.75,0.06
1207,966,新城派出所(公交站),5,0.08,0.75,0.06
1215,972,江埔村站(公交站),5,0.08,0.75,0.06
1270,1016,河东南路中站(公交站),5,0.08,0.75,0.06
