0,1,2,3,4
"113.242775,23.171258",同德街道,"[32.58955494237289, 151.9037440476191]",505.73735450000100,28.5233843
"113.507680,22.825237",黄阁镇,"[12.708079457893394, 261.8939180076628]",403.19286775000100,22.7365705
"113.258180,23.207327",黄石街道,"[150.62149362379841, 41.701676426047406]",579.596391000008,32.6914143
"113.369820,22.937627",市桥街道,"[95.84069730524045, 85.06156200941909]",1032.210659000010,58.2334459
"113.362556,22.932184",市桥街道,"[95.84069730524045, 85.06156200941909]",625.2332880000260,35.2668061
"113.300157,23.328626",人和镇,"[13.00771279080726, 238.1097054525012]",445.32553874999400,25.114211
"113.289330,23.140032",华乐街道,"[218.98912668916373, 61.72614772727279]",942.2089000000060,53.1544461
"113.328201,23.098714",赤岗街道,"[68.39043573589576, 107.44996277495784]",415.22639519999500,23.4156492
"113.259374,23.137955",六榕街道,"[108.09817926976336, 91.19101265822795]",202.72641100000000,11.4238017
"113.239754,23.167917",同德街道,"[32.58955494237289, 151.9037440476191]",568.6378140000020,32.0729974
"113.500669,23.082489",穗东街道,"[4.6893491423535085, 421.69540625]",95.48765875,5.37207998
"113.464724,23.136633",大沙街道,"[29.827333892334533, 139.13144701986755]",113.23938250000000,6.3738493
"113.504170,23.174115",萝岗街道,"[8.567617354703852, 229.7669830917878]",519.1750379999980,29.2817027
"113.344401,23.175901",元岗街道,"[29.029013149383506, 149.99238211382115]",464.313597249995,26.1857494
"113.514445,23.061776",夏港街道,"[31.56496717738633, 169.72024254473158]",33.01660875000000,1.84669944
"113.371695,22.924639",桥南街道,"[48.07594328578751, 125.18450553250342]",348.7166139999960,19.6623541
"113.547927,22.703144",珠江街道,"[5.161845261802811, 359.6206363636364]",349.3989040000010,19.7008573
"113.324082,23.158691",兴华街道,"[5.3026609586811615, 375.12302597402606]",463.23556099999500,26.1249134
"113.278352,23.207395",黄石街道,"[150.62149362379841, 41.701676426047406]",811.6476390000000,45.7865832
"113.253566,23.191243",新市街道,"[77.67642865939831, 83.07654193548379]",587.0470080000200,33.1118692
"113.274156,23.224505",鹤龙街道,"[83.79551453307802, 113.74156]",515.4575198500070,29.0719149
"113.334610,23.116621",猎德街道,"[124.15520398999912, 99.39676045016073]",596.0314920000140,33.6188837
