步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
181,145,陈祥兴商行,1,1,0.65,0.65
168,134,品好商行,1,1,0.65,0.65
241,193,泰兴便利店,1,1,0.65,0.65
222,178,维佳客便利店,1,1,0.65,0.65
298,238,圳兴粮油餐具批发部,1,1,0.65,0.65
256,205,维客佳(鑫鑫分店),1,1,0.65,0.65
292,234,天猫小店裕隆便利店,1,1,0.65,0.65
355,284,鑫辉百货(民主店),1,1,0.65,0.65
392,314,惠多多便利店,1,1,0.65,0.65
436,349,俊哥士多店,1,0.9,0.65,0.585
697,558,恒润祥商行,1,0.55,0.65,0.3575
592,474,永发百货,1,0.9,0.65,0.585
622,498,海市便民店,1,0.9,0.65,0.585
622,498,乐乐佳便利店,1,0.9,0.65,0.585
793,634,阿里之门(西海店),1,0.55,0.65,0.3575
694,555,可可便利店(石围街店),1,0.55,0.65,0.3575
631,505,喜洋洋便利店(沙井鹏福分店),1,0.9,0.65,0.585
746,597,潮丰百货,1,0.55,0.65,0.3575
731,585,喜多啦百货,1,0.55,0.65,0.3575
655,524,中原百货,1,0.55,0.65,0.3575
687,550,佳维乐便利店,1,0.55,0.65,0.3575
700,560,每天惠智慧便利店(好运来店),1,0.55,0.65,0.3575
718,574,美宜佳(德丰南店),1,0.55,0.65,0.3575
732,586,维乐佳便利店,1,0.55,0.65,0.3575
818,654,佳惠百货,1,0.55,0.65,0.3575
809,647,佳福百货,1,0.55,0.65,0.3575
800,640,兴达百货,1,0.55,0.65,0.3575
766,613,佳福便利店,1,0.55,0.65,0.3575
1166,933,佳惠百货生活超市,1,0.08,0.65,0.052
779,623,万福便利店,1,0.55,0.65,0.3575
1023,818,丰汪润家百货,1,0.25,0.65,0.1625
1027,822,丰润万家百货,1,0.25,0.65,0.1625
779,623,明智生活超市,1,0.55,0.65,0.3575
892,714,嘉盛果业批发零售(民主111号店),1,0.25,0.65,0.1625
723,578,乐购(民主店),1,0.55,0.65,0.3575
760,608,好运来连锁便利店,1,0.55,0.65,0.3575
767,614,忠意百货,1,0.55,0.65,0.3575
733,586,友一家便利店,1,0.55,0.65,0.3575
784,627,百圣购物,1,0.55,0.65,0.3575
713,570,好运多便利店,1,0.55,0.65,0.3575
842,674,百家,1,0.55,0.65,0.3575
847,678,小二便利店,1,0.55,0.65,0.3575
892,714,万信达便利店(名购百货西),1,0.25,0.65,0.1625
796,637,天添批发部,1,0.55,0.65,0.3575
1193,954,恒海渔具便利店,1,0.08,0.65,0.052
892,714,乐购便利店(德丰围街店),1,0.25,0.65,0.1625
877,702,顺达兴商行,1,0.25,0.65,0.1625
1042,834,东升百货,1,0.25,0.65,0.1625
937,750,鑫胜百货超市,1,0.25,0.65,0.1625
792,634,深圳潘记索米客便利店,1,0.55,0.65,0.3575
897,718,荣华商行,1,0.25,0.65,0.1625
955,764,大富便利店,1,0.25,0.65,0.1625
1095,876,鲜果园,1,0.08,0.65,0.052
1144,915,君利百货,1,0.08,0.65,0.052
894,715,湘宜便利店,1,0.25,0.65,0.1625
884,707,郑记水果店,1,0.25,0.65,0.1625
1157,926,华雨厨具百货,1,0.08,0.65,0.052
1296,1037,金广盛商行,1,0.08,0.65,0.052
900,720,易站,1,0.25,0.65,0.1625
1096,877,十分便利店(蚝乡路店),1,0.08,0.65,0.052
1096,877,美好10分,1,0.08,0.65,0.052
973,778,好日子商行,1,0.25,0.65,0.1625
1159,927,同心百货,1,0.08,0.65,0.052
1168,934,金爽客连锁便利店,1,0.08,0.65,0.052
1179,943,佳隆百货,1,0.08,0.65,0.052
1243,994,锦绣加油站便利店(暂停营业),1,0.08,0.65,0.052
1230,984,乐购平价百货,1,0.08,0.65,0.052
1006,805,恒兴购物商场,1,0.25,0.65,0.1625
1030,824,家佳宜平价百货,1,0.25,0.65,0.1625
1189,951,美宜佳,1,0.08,0.65,0.052
1236,989,好友便利店,1,0.08,0.65,0.052
1164,931,富佳百货,1,0.08,0.65,0.052
