步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
907,726,明购百货,1,0.25,0.3,0.075
907,726,名浩鑫商业广场,1,0.25,0.3,0.075
987,790,昊业商业广场,1,0.25,0.3,0.075
1171,937,优优岛(沙井店),1,0.08,0.3,0.024
1275,1020,岁宝Shirble plaza(沙井店),1,0.08,0.3,0.024
151,121,百盛佳购物广场(鸿桥花园东),2,1,0.3,0.3
454,363,美家福购物广场(沙井店),2,0.9,0.3,0.27
837,670,好万年(锦程路),2,0.55,0.3,0.165
837,670,和业商贸城,2,0.55,0.3,0.165
96,77,天源汇百货,3,1,0.3,0.3
393,314,大江豪(家美乐店),5,1,0.3,0.3
674,539,天源隆商场(西环路),5,0.55,0.3,0.165
1233,986,沙三购物广场,5,0.08,0.3,0.024
1294,1035,喜民丰百货,5,0.08,0.3,0.024
352,282,华东城购物中心,6,1,0.3,0.3
217,174,昌宏百货(沙井店),7,1,0.3,0.3
170,136,嘉丰广场(大王山工业一路),7,1,0.3,0.3
430,344,万联广场,7,1,0.3,0.3
522,418,大王山广场,7,0.9,0.3,0.27
394,315,西荟城购物广场A区,8,1,0.3,0.3
742,594,西荟城购物广场,8,0.55,0.3,0.165
498,398,亿康广场,8,0.9,0.3,0.27
872,698,新沙汇·时代广场,8,0.25,0.3,0.075
1076,861,Greenhouse,8,0.25,0.3,0.075
1213,970,hello时光城市,8,0.08,0.3,0.024
1253,1002,百佳华领创广场(建设中),8,0.08,0.3,0.024
488,390,新沙汇·时代广场,9,0.9,0.3,0.27
806,645,亿康广场,9,0.55,0.3,0.165
721,577,柔美ROMEDMAORE专柜,9,0.55,0.3,0.165
703,562,形色城购物中心(沙井店),9,0.55,0.3,0.165
834,667,天虹商场(沙井店),9,0.55,0.3,0.165
1018,814,天悦荟,9,0.25,0.3,0.075
1042,834,康惠百货(文明路),9,0.25,0.3,0.075
1137,910,百佳华领创广场(建设中),9,0.08,0.3,0.024
242,194,hello时光城市,10,1,0.3,0.3
191,153,正信百货,10,1,0.3,0.3
268,214,盛妆百货,10,1,0.3,0.3
461,369,京基百纳广场(沙井店),10,0.9,0.3,0.27
642,514,福佳购物广场,10,0.9,0.3,0.27
862,690,金惠百货,10,0.55,0.3,0.165
959,767,卓越时代广场,10,0.25,0.3,0.075
1086,869,西荟城购物广场A区,10,0.25,0.3,0.075
1300,1040,西荟城购物广场,10,0.08,0.3,0.024
229,183,乐天·玛特,11,1,0.3,0.3
569,455,世纪万众城生活超市,11,0.9,0.3,0.27
543,434,嘉盛丰百货,11,0.9,0.3,0.27
