步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
787,630,万乐福生活超市,101,0.55,0.2,0.11
719,575,天猫小店(七仔便利店),101,0.55,0.2,0.11
709,567,向荣汽车租赁,101,0.55,0.2,0.11
709,567,上品广告,101,0.55,0.2,0.11
757,606,九洲风机经销商,101,0.55,0.2,0.11
778,622,龙华新区敬老院,101,0.55,0.2,0.11
940,752,兴利达不锈钢,101,0.25,0.2,0.05
1127,902,紫飞语特殊儿童康复中心(泰然),110,0.08,0.2,0.016
1155,924,星光老年之家,112,0.08,0.2,0.016
664,531,华龄莲花北老年人日照中心,119,0.55,0.2,0.11
725,580,华龄莲花北老年人日照中心,120,0.55,0.2,0.11
280,224,紫飞语特殊儿童康复中心,121,1,0.2,0.2
378,302,润华松鹤颐养中心,121,1,0.2,0.2
694,555,紫飞语特殊儿童康复中心,122,0.55,0.2,0.11
1020,816,润华松鹤颐养中心,122,0.25,0.2,0.05
1238,990,华龄莲花北老年人日照中心,122,0.08,0.2,0.016
277,222,紫飞语特殊儿童康复中心,123,1,0.2,0.2
375,300,润华松鹤颐养中心,123,1,0.2,0.2
982,786,纳瑞康视力防控养护中心,124,0.25,0.2,0.05
1170,936,深圳市万年青居家养老中心,125,0.08,0.2,0.016
948,758,新洲社区星光老年之家,125,0.25,0.2,0.05
519,415,新洲社区星光老年之家,126,0.9,0.2,0.18
525,420,星气球特殊儿童康复中心,133,0.9,0.2,0.18
1129,903,星气球特殊儿童康复中心,134,0.08,0.2,0.016
1286,1029,布吉颐养院,134,0.08,0.2,0.016
558,446,星气球特殊儿童康复中心,135,0.9,0.2,0.18
538,430,共享之家颐养中心,137,0.9,0.2,0.18
516,413,3H颐养复康中心(百花园),137,0.9,0.2,0.18
600,480,共享之家3H颐养复康中心(百花园),137,0.9,0.2,0.18
776,621,星光老年之家,138,0.55,0.2,0.11
1287,1030,共享之家3H颐养复康中心(百花园),139,0.08,0.2,0.016
1135,908,共享之家3H颐养复康中心(百花园),140,0.08,0.2,0.016
1175,940,3H颐养复康中心(百花园),140,0.08,0.2,0.016
1215,972,共享之家颐养中心,140,0.08,0.2,0.016
794,635,福田区园岭八角楼托养中心,141,0.55,0.2,0.11
1094,875,共享之家颐养中心,141,0.08,0.2,0.016
1072,858,3H颐养复康中心(百花园),141,0.25,0.2,0.05
1156,925,共享之家3H颐养复康中心(百花园),141,0.08,0.2,0.016
1026,821,福田区园岭八角楼托养中心,142,0.25,0.2,0.05
889,711,星光老年之家(华强南路),143,0.25,0.2,0.05
1274,1019,优若家产后康复中心,143,0.08,0.2,0.016
889,711,星光老年之家(华强南路),144,0.25,0.2,0.05
1274,1019,优若家产后康复中心,144,0.08,0.2,0.016
879,703,优若家产后康复中心,145,0.25,0.2,0.05
953,762,星光老年之家(华强南路),145,0.25,0.2,0.05
1248,998,优若家产后康复中心,146,0.08,0.2,0.016
527,422,星光老年之家(华强南路),147,0.9,0.2,0.18
1011,809,优若家产后康复中心,147,0.25,0.2,0.05
495,396,优若家产后康复中心,149,0.9,0.2,0.18
1162,930,星光老年之家(华强南路),149,0.08,0.2,0.016
446,357,平湖敬老院,150,0.9,0.2,0.18
1262,1010,深圳市龙岗区平湖预防保健所,150,0.08,0.2,0.016
962,770,罗湖区翠竹长者服务中心,160,0.25,0.2,0.05
612,490,彩虹桥特殊儿童康复中心,161,0.9,0.2,0.18
580,464,罗湖区翠竹长者服务中心,161,0.9,0.2,0.18
617,494,罗湖区翠竹长者服务中心,162,0.9,0.2,0.18
1050,840,彩虹桥特殊儿童康复中心,162,0.25,0.2,0.05
443,354,珍珍珍美容院,164,0.9,0.2,0.18
408,326,启赋儿童康复中心,164,1,0.2,0.2
590,472,ww视力养护中心,168,0.9,0.2,0.18
1089,871,康馨养老院,168,0.08,0.2,0.016
648,518,ww视力养护中心,169,0.9,0.2,0.18
960,768,康馨养老院,169,0.25,0.2,0.05
911,729,ww视力养护中心,170,0.25,0.2,0.05
969,775,康馨养老院,171,0.25,0.2,0.05
771,617,ww视力养护中心,171,0.55,0.2,0.11
310,248,深圳市任达爱心护理院(白灰围二路),173,1,0.2,0.2
780,624,荷坳老人康乐之家,174,0.55,0.2,0.11
500,400,庆春特殊儿童康复,175,0.9,0.2,0.18
896,717,群爱敬老院,175,0.25,0.2,0.05
212,170,庆春特殊儿童康复,177,1,0.2,0.2
1105,884,群爱敬老院,177,0.08,0.2,0.016
927,742,盐田区社会福利中心老人院,179,0.25,0.2,0.05
902,722,盐田区老人颐养院,179,0.25,0.2,0.05
1225,980,盐田区老人颐养院,180,0.08,0.2,0.016
1248,998,盐田区社会福利中心老人院,180,0.08,0.2,0.016
1155,924,龙岗区特殊护理与养老学院,183,0.08,0.2,0.016
1174,939,深圳健康养老学院龙岗分院,183,0.08,0.2,0.016
20,16,南联养老中心,184,1,0.2,0.2
64,51,南联颐养中心,184,1,0.2,0.2
1150,920,赛盟台球,184,0.08,0.2,0.016
1300,1040,坪地社区民生微实事夕阳红都市养老服务中心,192,0.08,0.2,0.016
632,506,深圳天天康复中心,200,0.9,0.2,0.18
832,666,杏健孝园,201,0.55,0.2,0.11
1034,827,碧岭街道残疾人综合职业康复服务中心,203,0.25,0.2,0.05
864,691,坪山社区星光老年之家,209,0.55,0.2,0.11
127,102,深圳市工人疗休养院,210,1,0.2,0.2
750,600,金海岸养老院一所,210,0.55,0.2,0.11
1024,819,葵涌老人服务中心,217,0.25,0.2,0.05
1130,904,星光老年之家,217,0.08,0.2,0.016
852,682,蓝天湖福泰源养老度假中心,218,0.55,0.2,0.11
467,374,星光老年之家,219,0.9,0.2,0.18
778,622,生命树千岁城颐养社区,219,0.55,0.2,0.11
1284,1027,知己养老院,219,0.08,0.2,0.016
1305,1044,大鹏敬老院,221,0.08,0.2,0.016
486,389,龙岗区南澳街道敬老院,226,0.9,0.2,0.18
1011,809,约瑟家健康园,229,0.25,0.2,0.05
