步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
748,598,奇迹健身馆(西海岸店),1,0.55,0.08,0.044
748,598,心逸瑜伽(沙井总店),1,0.55,0.08,0.044
889,711,奇迹健身俱乐部(百利西城店),1,0.25,0.08,0.02
1102,882,加州阳光国际健身俱乐部(沙井店),1,0.08,0.08,0.0064
1237,990,拉伽瑜伽(沙井岁宝店),1,0.08,0.08,0.0064
1016,813,瑜悦瑜伽馆,2,0.25,0.08,0.02
866,693,中影·集鸿发国际影城,3,0.55,0.08,0.044
848,678,好伽瑜伽肚皮舞,5,0.55,0.08,0.044
975,780,大力健身,5,0.25,0.08,0.02
115,92,十八号瑜伽形体馆,6,1,0.08,0.08
310,248,奇迹超级健身Super Fitness,6,1,0.08,0.08
345,276,梵谷瑜伽普拉提馆(松岗店),6,1,0.08,0.08
354,283,天量健身,6,1,0.08,0.08
592,474,启聪健身中心,6,0.9,0.08,0.072
839,671,俪人瑜伽艾灸,6,0.55,0.08,0.044
1107,886,高域健身(松岗店),6,0.08,0.08,0.0064
1058,846,清逸瑜伽(塘尾店),7,0.25,0.08,0.02
395,316,中田健身工作室(沙井店),8,1,0.08,0.08
284,227,圆梦空间私教健身工作室(沙井店),8,1,0.08,0.08
327,262,梦维私人影院,8,1,0.08,0.08
366,293,二十四练私教健身工作室,8,1,0.08,0.08
431,345,拉伽瑜伽(西荟城店),8,1,0.08,0.08
489,391,中影星火巨幕影城(沙井店),8,0.9,0.08,0.072
472,378,皇冠健身,8,0.9,0.08,0.072
498,398,皇冠健身会所(沙井店),8,0.9,0.08,0.072
577,462,国宝健身,8,0.9,0.08,0.072
583,466,W PANDA FITNESS(国宝康体)私人健身管理中心,8,0.9,0.08,0.072
602,482,全瑜伽工作室,8,0.9,0.08,0.072
699,559,深圳市一梵瑜伽,8,0.55,0.08,0.044
819,655,菲尼斯康体倍力健身工作室,8,0.55,0.08,0.044
675,540,慧美瑜伽(万科店),8,0.55,0.08,0.044
675,540,梵羽国际瑜伽(万科翡丽郡店),8,0.55,0.08,0.044
1049,839,海纳瑜伽普拉提,8,0.25,0.08,0.02
952,762,众心健身工作室,8,0.25,0.08,0.02
916,733,菲尼斯国际健身(沙井万科翡丽郡店),8,0.25,0.08,0.02
1005,804,完美世界影城(沙井店),8,0.25,0.08,0.02
1035,828,深圳万丰影剧院,8,0.25,0.08,0.02
1191,953,瑞瑞私人影院,8,0.08,0.08,0.0064
1237,990,迪思普拉提健康管理(沙井店),8,0.08,0.08,0.0064
1179,943,好记忆健身健脑俱乐部,8,0.08,0.08,0.0064
249,199,深圳万丰影剧院,9,1,0.08,0.08
789,631,完美世界影城(沙井店),9,0.55,0.08,0.044
736,589,众心健身工作室,9,0.55,0.08,0.044
827,662,华夏星光国际影城(新桥店),9,0.55,0.08,0.044
806,645,皇冠健身会所(沙井店),9,0.55,0.08,0.044
780,624,皇冠健身,9,0.55,0.08,0.044
774,619,诺布基地,9,0.55,0.08,0.044
647,518,DFFC私教健身工作室,9,0.9,0.08,0.072
663,530,迪思普拉提健康管理(沙井店),9,0.55,0.08,0.044
695,556,米然瑜伽,9,0.55,0.08,0.044
737,590,静心瑜伽(天虹分店),9,0.55,0.08,0.044
789,631,DY国际影城(沙井店),9,0.55,0.08,0.044
729,583,古音瑜伽,9,0.55,0.08,0.044
759,607,华丽健身咨询有限公司,9,0.55,0.08,0.044
759,607,超强健身(裕盛华庭店),9,0.55,0.08,0.044
836,669,深圳华夏星光国际影城(沙井店),9,0.55,0.08,0.044
928,742,新月瑜伽,9,0.25,0.08,0.02
925,740,中田健身工作室(沙井店),9,0.25,0.08,0.02
960,768,中田健身工作室(宝安书城店),9,0.25,0.08,0.02
943,754,乐活健身会,9,0.25,0.08,0.02
915,732,佳润国际健身俱乐部(深圳沙井总店),9,0.25,0.08,0.02
1018,814,静心瑜伽(天悦店),9,0.25,0.08,0.02
1061,849,共享健身健康舞蹈资源,9,0.25,0.08,0.02
1072,858,新积美健身房,9,0.25,0.08,0.02
1072,858,积美健身会所,9,0.25,0.08,0.02
1265,1012,梦维私人影院,9,0.08,0.08,0.0064
1222,978,圆梦空间私教健身工作室(沙井店),9,0.08,0.08,0.0064
240,192,好记忆健身健脑俱乐部,10,1,0.08,0.08
170,136,巭凡·金鲨恒温游泳健身会所,10,1,0.08,0.08
332,266,巭凡影城,10,1,0.08,0.08
507,406,优圣美地瑜伽馆(沙井京基百纳店),10,0.9,0.08,0.072
597,478,中影飞尚百誉影城(沙井店),10,0.9,0.08,0.072
672,538,菲尼斯国际健身(沙井万科翡丽郡店),10,0.55,0.08,0.044
631,505,迦莱瑜伽(沙井京基百纳店),10,0.9,0.08,0.072
865,692,菲尼斯康体倍力健身工作室,10,0.55,0.08,0.044
769,615,梵羽国际瑜伽(万科翡丽郡店),10,0.55,0.08,0.044
778,622,中田健身工作室(沙井东塘店),10,0.55,0.08,0.044
796,637,慧美瑜伽(万科店),10,0.55,0.08,0.044
1006,805,Energy Yoga瑜伽,10,0.25,0.08,0.02
885,708,慧美瑜伽会馆,10,0.25,0.08,0.02
947,758,慧慧瑜伽(永辉店),10,0.25,0.08,0.02
1150,920,全瑜伽工作室,10,0.08,0.08,0.0064
1087,870,拉伽瑜伽(西荟城店),10,0.25,0.08,0.02
1114,891,二十四练私教健身工作室,10,0.08,0.08,0.0064
1157,926,梦维私人影院,10,0.08,0.08,0.0064
1047,838,中影星火巨幕影城(沙井店),10,0.25,0.08,0.02
1135,908,国宝健身,10,0.08,0.08,0.0064
1161,929,圆梦空间私教健身工作室(沙井店),10,0.08,0.08,0.0064
1141,913,W PANDA FITNESS(国宝康体)私人健身管理中心,10,0.08,0.08,0.0064
1214,971,深圳百川影城IMAX(天虹商场店),10,0.08,0.08,0.0064
1279,1023,梦氏健身(沙虹直营店),10,0.08,0.08,0.0064
362,290,鸿迈健身工作室,11,1,0.08,0.08
362,290,鸿迈私教健身工作室(马鞍山店),11,1,0.08,0.08
1209,967,超强健身(裕盛华庭店),11,0.08,0.08,0.0064
1209,967,华丽健身咨询有限公司,11,0.08,0.08,0.0064
384,307,东海国际影城,12,1,0.08,0.08
687,550,梵宇瑜伽,12,0.55,0.08,0.044
949,759,渡瑜伽,12,0.25,0.08,0.02
1169,935,中田健身工作室(桥头店),12,0.08,0.08,0.0064
874,699,一起看微影院(桥头店),12,0.25,0.08,0.02
470,376,畅心瑜伽(白石厦店),13,0.9,0.08,0.072
513,410,爱时尚国际健身俱乐部,13,0.9,0.08,0.072
808,646,中田健身工作室(万福广场店),13,0.55,0.08,0.044
823,658,梵洛薇瑜伽,13,0.55,0.08,0.044
948,758,中影星美明星国际影城(福永康之宝店),13,0.25,0.08,0.02
855,684,飞鸟健身俱乐部(白石厦店),13,0.55,0.08,0.044
1217,974,益田国际影城(福永店),13,0.08,0.08,0.0064
1228,982,动力空间私教健身工作室(立新湖店),13,0.08,0.08,0.0064
1217,974,洁·灵瑜伽福永馆,13,0.08,0.08,0.0064
212,170,中影幕森国际影城,14,1,0.08,0.08
