步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
93,74,宝安第二人民医院(集团)总医院民主社区健康服务中心,1,1,0.4,0.4
93,74,深圳新敏捷物流有限公司,1,1,0.4,0.4
235,188,德邦快递,1,1,0.4,0.4
361,289,中国移动社区服务站,1,1,0.4,0.4
740,592,菜鸟驿站(深圳西海岸花园西门103号店),1,0.55,0.4,0.22
690,552,深圳市周记鸿运物流有限公司,1,0.55,0.4,0.22
849,679,顺丰速运(锦程路),1,0.55,0.4,0.22
724,579,中通快递,1,0.55,0.4,0.22
858,686,蜂巢快递柜,1,0.55,0.4,0.22
703,562,电信营业厅,1,0.55,0.4,0.22
847,678,韵达快递(德丰围街),1,0.55,0.4,0.22
869,695,中通快递,1,0.55,0.4,0.22
1210,968,菜鸟驿站(三间仔快递店),1,0.08,0.4,0.032
1162,930,菜鸟驿站(深圳沙井西城小区二栋108店),1,0.08,0.4,0.032
1191,953,菜鸟驿站(深圳沙井蚝一社区店),1,0.08,0.4,0.032
1296,1037,中国移动光纤宽带报装点,1,0.08,0.4,0.032
987,790,中国电信,1,0.25,0.4,0.1
1012,810,中国移动,1,0.25,0.4,0.1
1123,898,菜鸟驿站(深圳沙井濠景城社区店),1,0.08,0.4,0.032
1172,938,易速递,1,0.08,0.4,0.032
1171,937,菜鸟驿站(深圳沙井濠景时代2栋店),1,0.08,0.4,0.032
105,84,丰巢快递柜,2,1,0.4,0.4
92,74,圆通速递(和一分部),2,1,0.4,0.4
194,155,极兔速递,2,1,0.4,0.4
177,142,菜鸟驿站(天福7645沙井和一得宝店),2,1,0.4,0.4
207,166,韵达快递超市,2,1,0.4,0.4
189,151,歆达快递,2,1,0.4,0.4
202,162,中国电信光纤宽带受理点,2,1,0.4,0.4
188,150,中国电信(和一营业厅),2,1,0.4,0.4
192,154,菜鸟驿站(深圳沙井和一新村B区24栋店),2,1,0.4,0.4
539,431,壹加壹国际物流,2,0.9,0.4,0.36
920,736,中通快递,2,0.25,0.4,0.1
376,301,韵达速递,2,1,0.4,0.4
592,474,联威物流,2,0.9,0.4,0.36
592,474,华翔货运,2,0.9,0.4,0.36
662,530,深圳市航威物流有限公司,2,0.55,0.4,0.22
452,362,怡宝益力配送中心,2,0.9,0.4,0.36
672,538,优速快递沙井民主,2,0.55,0.4,0.22
514,411,飞快达物流沙井营业部,2,0.9,0.4,0.36
727,582,优速中港物流有限公司,2,0.55,0.4,0.22
831,665,菜鸟驿站(深圳沙井海滨华城3栋118店),2,0.55,0.4,0.22
596,477,沙井人民医院和一社区健康服务中心,2,0.9,0.4,0.36
727,582,菜鸟驿站,2,0.55,0.4,0.22
605,484,百世快递宝安区一部,2,0.9,0.4,0.36
