步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
123,98,民主社区(公交站),1,1,0.75,0.75
238,190,第七高级中学(公交站),1,1,0.75,0.75
606,485,华擎科技(公交站),1,0.9,0.75,0.675
687,550,民主新村(公交站),1,0.55,0.75,0.4125
829,663,蚝二西海岸(公交站),1,0.55,0.75,0.4125
1106,885,海上田园(公交站),1,0.08,0.75,0.06
788,630,安托山高科技园(公交站),1,0.55,0.75,0.4125
1116,893,沙一西部工业区(公交站),1,0.08,0.75,0.06
1166,933,鑫鑫田工业园(公交站),1,0.08,0.75,0.06
1099,879,沙井西部客运站(公交站),1,0.08,0.75,0.06
1003,802,蚝一濠景城(公交站),1,0.25,0.75,0.1875
1007,806,蚝一社区(公交站),1,0.25,0.75,0.1875
278,222,民主村委(公交站),1,1,0.75,0.75
1008,806,蚝一村委(公交站),1,0.25,0.75,0.1875
336,269,和二村(公交站),2,1,0.75,0.75
412,330,和平街路口(公交站),2,1,0.75,0.75
525,420,松福裕达富(公交站),2,0.9,0.75,0.675
773,618,和二才生围路口(公交站),2,0.55,0.75,0.4125
974,779,沙井公交场站(公交站),2,0.25,0.75,0.1875
840,672,蚝一西部工业园(公交站),2,0.55,0.75,0.4125
1024,819,兴英科技园(公交站),2,0.25,0.75,0.1875
879,703,美祥顺(公交站),2,0.25,0.75,0.1875
1002,802,欧达可(公交站),2,0.25,0.75,0.1875
977,782,和一好万年(公交站),2,0.25,0.75,0.1875
1034,827,宝兴第二幼儿园(公交站),2,0.25,0.75,0.1875
1189,951,蚝四西部工业区(公交站),2,0.08,0.75,0.06
987,790,和一社康中心(公交站),2,0.25,0.75,0.1875
1158,926,闳晖科技园(公交站),2,0.08,0.75,0.06
1176,941,和一社区微巴场站(公交站),2,0.08,0.75,0.06
914,731,艾默生西门(公交站),2,0.25,0.75,0.1875
1290,1032,和一鸿江工业园(公交站),2,0.08,0.75,0.06
1094,875,福永塘尾社区总站(公交站),2,0.08,0.75,0.06
1053,842,兴英科技东(公交站),2,0.25,0.75,0.1875
35,28,后亭东边坑(公交站),3,1,0.75,0.75
298,238,东江钢铁(公交站),3,1,0.75,0.75
316,253,后亭四海云亭(公交站),3,1,0.75,0.75
378,302,后亭村委办公楼(公交站),3,1,0.75,0.75
627,502,沙松桥(公交站),3,0.9,0.75,0.675
666,533,中亭路口(公交站),3,0.55,0.75,0.4125
608,486,后亭社区(公交站),3,0.9,0.75,0.675
621,497,后亭新宝花园(公交站),3,0.9,0.75,0.675
887,710,全至科技园(公交站),3,0.25,0.75,0.1875
838,670,巨基科技园(公交站),3,0.55,0.75,0.4125
1204,963,后亭工业园(公交站),3,0.08,0.75,0.06
911,729,后亭路口(公交站),3,0.25,0.75,0.1875
1123,898,步涌市场(公交站),3,0.08,0.75,0.06
1228,982,后亭地铁站(公交站),3,0.08,0.75,0.06
1203,962,汇百川(公交站),3,0.08,0.75,0.06
1223,978,后亭(地铁站),3,0.08,0.75,0.06
1270,1016,才华学校(公交站),3,0.08,0.75,0.06
1212,970,复亚医院(公交站),3,0.08,0.75,0.06
1192,954,沙井东山书院(公交站),3,0.08,0.75,0.06
70,56,步涌祠堂南(公交站),4,1,0.75,0.75
402,322,步涌工业区(公交站),4,1,0.75,0.75
563,450,步涌桥(公交站),4,0.9,0.75,0.675
780,624,水产油站(公交站),4,0.55,0.75,0.4125
360,288,步涌西边新区(公交站),4,1,0.75,0.75
1135,908,码头桥(公交站),4,0.08,0.75,0.06
640,512,步涌市场东(公交站),4,0.9,0.75,0.675
802,642,沙井综合执法队(公交站),4,0.55,0.75,0.4125
759,607,中华制漆(公交站),4,0.55,0.75,0.4125
1119,895,沙井北环路口(公交站),4,0.08,0.75,0.06
815,652,步涌市场(公交站),4,0.55,0.75,0.4125
662,530,才华学校(公交站),4,0.55,0.75,0.4125
773,618,共和步涌路口(公交站),4,0.55,0.75,0.4125
972,778,步涌新村(公交站),4,0.25,0.75,0.1875
1240,992,沙井环镇路口(公交站),4,0.08,0.75,0.06
1190,952,后亭路口(公交站),4,0.08,0.75,0.06
958,766,捷恒声电(公交站),4,0.25,0.75,0.1875
1113,890,沙井新城市广场(公交站),4,0.08,0.75,0.06
931,745,共和花园(公交站),4,0.25,0.75,0.1875
1292,1034,衙边村(公交站),4,0.08,0.75,0.06
1281,1025,沙井巡警中队(公交站),4,0.08,0.75,0.06
1214,971,明德学校(公交站),4,0.08,0.75,0.06
1279,1023,汇百川(公交站),4,0.08,0.75,0.06
1222,978,共和社区(公交站),4,0.08,0.75,0.06
1279,1023,明德学校南门(公交站),4,0.08,0.75,0.06
97,78,明德学校(公交站),5,1,0.75,0.75
170,136,明德学校南门(公交站),5,1,0.75,0.75
190,152,捷恒声电(公交站),5,1,0.75,0.75
446,357,共和花园(公交站),5,0.9,0.75,0.675
321,257,共和社区(公交站),5,1,0.75,0.75
385,308,共和祥泰路口(公交站),5,1,0.75,0.75
377,302,共和步涌路口(公交站),5,1,0.75,0.75
637,510,沙四第三工业区(公交站),5,0.9,0.75,0.675
530,424,沙四社区(公交站),5,0.9,0.75,0.675
653,522,精英公司(公交站),5,0.55,0.75,0.4125
645,516,天源隆商场(公交站),5,0.9,0.75,0.675
789,631,步涌西边新区(公交站),5,0.55,0.75,0.4125
982,786,沙井北环路口(公交站),5,0.25,0.75,0.1875
998,798,码头桥(公交站),5,0.25,0.75,0.1875
1271,1017,粤美特加油站(公交站),5,0.08,0.75,0.06
1111,889,帝堂西环路口(公交站),5,0.08,0.75,0.06
1132,906,沙三社区(公交站),5,0.08,0.75,0.06
981,785,蚝三丰泽园(公交站),5,0.25,0.75,0.1875
1064,851,共和第八工业区(公交站),5,0.25,0.75,0.1875
1081,865,步涌祠堂南(公交站),5,0.25,0.75,0.1875
1082,866,共和综合场站(公交站),5,0.25,0.75,0.1875
1299,1039,蚝四村(公交站),5,0.08,0.75,0.06
226,181,江边社区(公交站),6,1,0.75,0.75
444,355,御岭公馆(公交站),6,0.9,0.75,0.675
526,421,振泰工业城(公交站),6,0.9,0.75,0.675
607,486,江边公交总站(公交站),6,0.9,0.75,0.675
815,652,芭田厂(公交站),6,0.55,0.75,0.4125
814,651,朗下居委会(公交站),6,0.55,0.75,0.4125
701,561,江边村公交总站(公交站),6,0.55,0.75,0.4125
851,681,松福松安路口(公交站),6,0.55,0.75,0.4125
825,660,中海西岸华府(公交站),6,0.55,0.75,0.4125
965,772,平安大道路口(公交站),6,0.25,0.75,0.1875
1017,814,碧头文武学校(公交站),6,0.25,0.75,0.1875
1078,862,朗碧路口(公交站),6,0.25,0.75,0.1875
1166,933,信隆实业(公交站),6,0.08,0.75,0.06
1014,811,沙浦围居委会(公交站),6,0.25,0.75,0.1875
1254,1003,碧头第三工业区(公交站),6,0.08,0.75,0.06
239,191,大王山新村南(公交站),7,1,0.75,0.75
277,222,大王山公园(公交站),7,1,0.75,0.75
332,266,大王山总站(公交站),7,1,0.75,0.75
378,302,大王山村(公交站),7,1,0.75,0.75
858,686,茭塘村(公交站),7,0.55,0.75,0.4125
518,414,南沙派出所(公交站),7,0.9,0.75,0.675
521,417,沙井珠宝交易中心(公交站),7,0.9,0.75,0.675
615,492,南沙派出所西(公交站),7,0.9,0.75,0.675
955,764,金信化工(公交站),7,0.25,0.75,0.1875
793,634,沙头路口(公交站),7,0.55,0.75,0.4125
844,675,YKK厂后门(公交站),7,0.55,0.75,0.4125
749,599,YKK拉链厂(公交站),7,0.55,0.75,0.4125
854,683,蚝四西部工业区(公交站),7,0.55,0.75,0.4125
