0,1,2,3,4
"113.910895,22.717396",玉塘街道,"[18.12598258782049, 232.61077303754277]",329.6435399999980,25.2696603
"113.934325,22.681483",石岩街道,"[11.126272807404987, 223.20451132213313]",898.1629460000070,70.2764612
"113.932924,22.682022",石岩街道,"[11.126272807404987, 223.20451132213313]",710.1008082500160,55.3885346
"113.938201,22.683327",石岩街道,"[11.126272807404987, 223.20451132213313]",620.2641532500170,48.2766218
"113.935683,22.687804",石岩街道,"[11.126272807404987, 223.20451132213313]",320.7164612499970,24.5629487
"113.93415,22.683219",石岩街道,"[11.126272807404987, 223.20451132213313]",459.09868149999800,35.517968
"113.943658,22.683723",石岩街道,"[11.126272807404987, 223.20451132213313]",486.2031932499940,37.6636948
"113.934338,22.669475",石岩街道,"[11.126272807404987, 223.20451132213313]",279.1012837499970,21.268486
"113.923456,22.675032",石岩街道,"[11.126272807404987, 223.20451132213313]",317.90409074999600,24.3403076
"113.927949,22.649488",石岩街道,"[11.126272807404987, 223.20451132213313]",205.98840500000000,15.4805098
"113.93024,22.615454",西丽街道,"[24.912087181293348, 154.64820793036716]",51.41903500000000,3.24403592
"113.924482,22.524258",南山街道,"[28.49411847147242, 166.87246601941757]",848.8817530000260,66.3751189
"113.930098,22.487187",蛇口街道,"[154.4216623770665, 80.43075518672211]",804.2337270000100,62.8405609
"113.929899,22.48818",蛇口街道,"[154.4216623770665, 80.43075518672211]",845.6203800000100,66.1169325
"113.93298,22.489238",蛇口街道,"[154.4216623770665, 80.43075518672211]",661.9074660000110,51.5733119
"113.931774,22.494983",招商街道,"[49.03225399513114, 109.88702284408906]",334.62579124999600,25.6640799
"113.92829,22.4902",蛇口街道,"[154.4216623770665, 80.43075518672211]",887.0900940000040,69.3998796
"113.99128,22.740521",光明街道,"[13.09659558490399, 207.06193439716301]",164.13135749999900,12.1668994
"113.965867,22.69878",石岩街道,"[11.126272807404987, 223.20451132213313]",315.23494699999900,24.129005
"113.983131,22.680261",大浪街道,"[23.42447963660016, 172.378813989239]",252.02926200000000,19.1253312
"113.951511,22.678247",石岩街道,"[11.126272807404987, 223.20451132213313]",355.6183924999970,27.3259578
"113.986344,22.673652",大浪街道,"[23.42447963660016, 172.378813989239]",100.302767,7.11391331
"113.952586,22.633577",西丽街道,"[24.912087181293348, 154.64820793036716]",80.8585850000002,5.57461593
"113.964936,22.592581",桃源街道,"[6.936057832681121, 282.699]",118.86683100000000,8.5835362
"113.96075,22.591691",西丽街道,"[24.912087181293348, 154.64820793036716]",96.40089850000000,6.80502215
"113.958376,22.567231",桃源街道,"[6.936057832681121, 282.699]",206.59840475000000,15.5288004
"113.965999,22.535578",沙河街道,"[24.29778183615587, 194.68866282420748]",387.70813375000000,29.86634
"113.972163,22.538839",沙河街道,"[24.29778183615587, 194.68866282420748]",502.473734000003,38.9517511
"113.969539,22.539929",沙河街道,"[24.29778183615587, 194.68866282420748]",447.10039524999500,34.5681244
"113.970819,22.540916",沙河街道,"[24.29778183615587, 194.68866282420748]",387.0576117499940,29.8148415
"113.982483,22.537285",沙河街道,"[24.29778183615587, 194.68866282420748]",258.0886469999990,19.605022
"114.010924,22.686174",大浪街道,"[23.42447963660016, 172.378813989239]",80.84730375000010,5.57372285
"114.002315,22.690398",大浪街道,"[23.42447963660016, 172.378813989239]",222.91027999999900,16.8201289
"114.001975,22.690181",大浪街道,"[23.42447963660016, 172.378813989239]",218.67349375000000,16.484724
"114.018512,22.670824",龙华街道,"[42.57199084551285, 123.84359335548184]",384.8729299999980,29.6418913
"114.015219,22.647745",大浪街道,"[23.42447963660016, 172.378813989239]",412.38798899999200,31.8201191
"114.010392,22.64238",大浪街道,"[23.42447963660016, 172.378813989239]",206.60418075000000,15.5292576
"114.008936,22.635204",民治街道,"[51.614691967811865, 124.956083947584]",115.65984000000000,8.32965497
"114.022249,22.639295",民治街道,"[51.614691967811865, 124.956083947584]",587.0457360000100,45.646888
"114.009022,22.650006",大浪街道,"[23.42447963660016, 172.378813989239]",452.75780674999600,35.0159931
"114.014736,22.654401",大浪街道,"[23.42447963660016, 172.378813989239]",661.4640002500140,51.538205
"114.025064,22.639858",民治街道,"[51.614691967811865, 124.956083947584]",488.29674719999700,37.8294309
"114.025046,22.638606",民治街道,"[51.614691967811865, 124.956083947584]",618.3261504000100,48.1231999
"114.014236,22.552751",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",158.08710315000000,11.6884064
"114.018397,22.548336",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",136.45581215000000,9.97596672
"114.018406,22.548327",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",138.99205660000000,10.1767483
"114.015322,22.537438",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",276.0896934999970,21.0300736
"114.000629,22.534213",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",44.267477750000000,2.67788337
"114.015322,22.537438",香蜜湖街道,"[86.14730159012471, 105.29810923753669]",271.0742454499970,20.633026
"114.028272,22.525315",沙头街道,"[88.2522953351292, 106.79305580693818]",733.4613823500020,57.2378729
"114.060455,22.726446",观澜街道,"[14.507715806409418, 218.88936431226793]",557.3908590000100,43.2992617
"114.060268,22.721766",观澜街道,"[14.507715806409418, 218.88936431226793]",961.3949839999940,75.2822213
"114.050292,22.712872",观湖街道,"[19.379211675943775, 176.6422835249042]",451.27445774999200,34.8985638
"114.046568,22.685415",观湖街道,"[19.379211675943775, 176.6422835249042]",121.8273017499990,8.81790167
