步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
203,162,兴达水产批发行,1,1,1.3,1.3
188,150,珠江湾水产批发,1,1,1.3,1.3
195,156,左记水产批发门市部,1,1,1.3,1.3
173,138,大鹏水产批发,1,1,1.3,1.3
150,120,白蕉水产批发店,1,1,1.3,1.3
194,155,孙有蔬菜店,1,1,1.3,1.3
168,134,品好商行,1,1,1.3,1.3
150,120,徐记冻品店,1,1,1.3,1.3
150,120,北海道海产冻品店,1,1,1.3,1.3
168,134,胖子猪肉档,1,1,1.3,1.3
179,143,运昌海产品批发店,1,1,1.3,1.3
186,149,平价蔬菜批发配送行,1,1,1.3,1.3
186,149,集百家农产品批发配送有限公司,1,1,1.3,1.3
256,205,了了服饰,1,1,1.3,1.3
280,224,五洲粮油,1,1,1.3,1.3
301,241,拓福渔具,1,1,1.3,1.3
288,230,嗨团云屋,1,1,1.3,1.3
301,241,金海渔具,1,1,1.3,1.3
325,260,泽亚渔具,1,1,1.3,1.3
327,262,恭喜发财,1,1,1.3,1.3
355,284,深圳市云峰茶业贸易行,1,1,1.3,1.3
368,294,瀚浩酒业(沙井分店),1,1,1.3,1.3
347,278,瀚浩茶业,1,1,1.3,1.3
697,558,恒润祥商行,1,0.55,1.3,0.715
709,567,京东酒世界(恒润祥商行),1,0.55,1.3,0.715
841,673,春夏秋冬老茶店,1,0.55,1.3,0.715
806,645,幂姿无钢圈内衣生活馆,1,0.55,1.3,0.715
687,550,台铃电动车(民主商住街一巷店),1,0.55,1.3,0.715
812,650,三品老茶,1,0.55,1.3,0.715
763,610,一品果业,1,0.55,1.3,0.715
800,640,OCW,1,0.55,1.3,0.715
647,518,鑫汇轩茶业商行,1,0.9,1.3,1.17
989,791,p2w,1,0.25,1.3,0.325
871,697,爱婴之家,1,0.25,1.3,0.325
869,695,永富果品,1,0.55,1.3,0.715
741,593,源艺轩礼品商行,1,0.55,1.3,0.715
917,734,老6烟酒商行,1,0.25,1.3,0.325
879,703,以张服饰店,1,0.25,1.3,0.325
1193,954,恒海渔具便利店,1,0.08,1.3,0.104
810,648,粉面批发,1,0.55,1.3,0.715
769,615,奘虎酒,1,0.55,1.3,0.715
831,665,濠景水业,1,0.55,1.3,0.715
953,762,战狼男装专卖,1,0.25,1.3,0.325
953,762,妈妈生日花礼,1,0.25,1.3,0.325
953,762,丽人岛,1,0.25,1.3,0.325
953,762,美饰美爆,1,0.25,1.3,0.325
822,658,新旧货市场,1,0.55,1.3,0.715
834,667,好鲜生鲜果店,1,0.55,1.3,0.715
1231,985,妈妈生日花礼,1,0.08,1.3,0.104
1259,1007,沙井雅阁兰蒂,1,0.08,1.3,0.104
1187,950,依伽美妆,1,0.08,1.3,0.104
1157,926,润全蔬菜店,1,0.08,1.3,0.104
891,713,西城蔬菜肉食水果超市,1,0.25,1.3,0.325
931,745,深圳市宝安区沙井蚝二想家便利店,1,0.25,1.3,0.325
1250,1000,河南水煎包、汉中纯手工凉皮,1,0.08,1.3,0.104
1171,937,通顺配件单车电动车维修,1,0.08,1.3,0.104
980,784,绿专卖店,1,0.25,1.3,0.325
1040,832,品优妇幼,1,0.25,1.3,0.325
1071,857,尚轩眼镜,1,0.25,1.3,0.325
